epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.1549055576324463,4.109623432159424,0.001,0.46070316433906555,2.215137481689453
1,0.4375030994415283,2.3575713634490967,0.001,0.6599351167678833,1.4565067291259766
2,0.571369469165802,1.8483792543411255,0.001,0.7346222400665283,1.195218563079834
3,0.6355961561203003,1.6092042922973633,0.001,0.7611070871353149,1.0999138355255127
4,0.6743474006652832,1.4730843305587769,0.001,0.7817652225494385,1.0259435176849365
5,0.700931966304779,1.3895230293273926,0.001,0.7936171889305115,1.005940318107605
6,0.7237754464149475,1.30370032787323,0.001,0.8156657814979553,0.933874249458313
7,0.7347171902656555,1.268109679222107,0.001,0.822353184223175,0.9101771116256714
8,0.7479597926139832,1.217972993850708,0.001,0.827981173992157,0.8939151167869568
9,0.7561039924621582,1.1897265911102295,0.001,0.8318215012550354,0.889005720615387
10,0.7656221389770508,1.1577991247177124,0.001,0.8325498104095459,0.8778721690177917
11,0.7722600102424622,1.1370465755462646,0.001,0.8324835896492004,0.8808035254478455
12,0.7820429801940918,1.1068063974380493,0.001,0.8327484726905823,0.884844183921814
13,0.783781111240387,1.1005313396453857,0.001,0.8364563584327698,0.8742466568946838
14,0.7892271280288696,1.0795156955718994,0.001,0.8414222598075867,0.865745484828949
15,0.7912963032722473,1.070753574371338,0.001,0.8453287482261658,0.8470677733421326
16,0.7954345941543579,1.0564279556274414,0.001,0.8470502495765686,0.8379287719726562
17,0.7980996966362,1.0443516969680786,0.001,0.8442031145095825,0.8466217517852783
18,0.8041582107543945,1.025081992149353,0.001,0.8478447794914246,0.8346427083015442
19,0.8043733835220337,1.0267468690872192,0.001,0.8497649431228638,0.829749584197998
20,0.8096869587898254,1.0070887804031372,0.001,0.8536052703857422,0.8251938819885254
21,0.809786319732666,1.0059833526611328,0.001,0.850890576839447,0.8303185701370239
22,0.8106305003166199,1.0043892860412598,0.001,0.8502946496009827,0.8315088152885437
23,0.8126334547996521,0.9941123723983765,0.001,0.8518837094306946,0.8242378234863281
24,0.8145039677619934,0.9945554137229919,0.001,0.8522809743881226,0.8285984992980957
25,0.8169869780540466,0.9864153265953064,0.001,0.8498973846435547,0.8309780359268188
26,0.8190230131149292,0.9782996773719788,0.001,0.852347195148468,0.829252302646637
27,0.8203307390213013,0.9711538553237915,0.001,0.8564523458480835,0.8149652481079102
28,0.8202975988388062,0.9714713096618652,0.001,0.8555915951728821,0.8143222332000732
29,0.8216881155967712,0.9636260867118835,0.001,0.8573130965232849,0.8108062148094177
30,0.8234261870384216,0.9579633474349976,0.001,0.8575117588043213,0.8125426173210144
31,0.8252139687538147,0.9516034126281738,0.001,0.8571807146072388,0.8158806562423706
32,0.8272830843925476,0.9492201209068298,0.001,0.8556578159332275,0.8150951266288757
33,0.8278293609619141,0.9465275406837463,0.001,0.8574455380439758,0.8172194361686707
34,0.8265382051467896,0.952739953994751,0.001,0.8573130965232849,0.8106934428215027
35,0.8298323154449463,0.9394845962524414,0.001,0.860160231590271,0.8044657111167908
36,0.8302295804023743,0.9383242130279541,0.001,0.8576442003250122,0.8137719035148621
37,0.8307096362113953,0.9336811900138855,0.001,0.860954761505127,0.8036984205245972
38,0.8332257270812988,0.9238477349281311,0.001,0.8571807146072388,0.8122680187225342
39,0.8307427167892456,0.9342979788780212,0.001,0.8575779795646667,0.8103355765342712
40,0.8323484063148499,0.9303168654441833,0.001,0.859762966632843,0.8042911291122437
41,0.8334078192710876,0.9245923757553101,0.001,0.8604250550270081,0.803680956363678
42,0.8339706063270569,0.9208147525787354,0.001,0.8606237173080444,0.8057076334953308
43,0.8453924059867859,0.8794211745262146,0.0005,0.8641329407691956,0.7919175028800964
44,0.8485375046730042,0.8696725368499756,0.0005,0.8652585744857788,0.7923184633255005
45,0.8501762747764587,0.8593820333480835,0.0005,0.8640005588531494,0.7914270162582397
46,0.851301908493042,0.8577514886856079,0.0005,0.8646626472473145,0.7924711108207703
47,0.8512191772460938,0.8583291172981262,0.0005,0.8652585744857788,0.7880386114120483
48,0.85340416431427,0.8510615229606628,0.0005,0.8643316030502319,0.791962206363678
49,0.8528248071670532,0.8532425165176392,0.0005,0.8653247952461243,0.7889373302459717
50,0.853967010974884,0.8509775996208191,0.0005,0.863934338092804,0.7904378771781921
51,0.8541987538337708,0.8478757739067078,0.0005,0.8663841485977173,0.7839035391807556
52,0.8542980551719666,0.8467221260070801,0.0005,0.8655233979225159,0.7887085676193237
53,0.8545463681221008,0.8456827402114868,0.0005,0.864199161529541,0.7912807464599609
54,0.8537683486938477,0.8470412492752075,0.0005,0.8651261329650879,0.7868359684944153
55,0.8552912473678589,0.8427944779396057,0.0005,0.8653247952461243,0.7870058417320251
56,0.8564168810844421,0.8394492268562317,0.0005,0.8649274706840515,0.7919642329216003
57,0.8580722212791443,0.8297673463821411,0.00025,0.8665828108787537,0.7833819389343262
58,0.8604393005371094,0.8217382431030273,0.00025,0.8669138550758362,0.7856100797653198
59,0.8601248264312744,0.8235557675361633,0.00025,0.8659868836402893,0.7854197025299072
60,0.8610517978668213,0.820218563079834,0.00025,0.8675097823143005,0.7804946303367615
61,0.8607207536697388,0.8208199143409729,0.00025,0.8661855459213257,0.7825775742530823
62,0.8618628978729248,0.8160498142242432,0.00025,0.867576003074646,0.7831422090530396
63,0.8609193563461304,0.8185487985610962,0.00025,0.8666490316390991,0.7859809398651123
64,0.8611676692962646,0.8192092776298523,0.00025,0.8665828108787537,0.784797728061676
65,0.8617966771125793,0.8176460266113281,0.00025,0.8679070472717285,0.7808241248130798
66,0.8627236485481262,0.8106926083564758,0.000125,0.8671125173568726,0.7818200588226318
67,0.8630216121673584,0.811505138874054,0.000125,0.8675097823143005,0.7801360487937927
68,0.8632699251174927,0.8095938563346863,0.000125,0.8673111200332642,0.7812865376472473
69,0.8640148043632507,0.808637261390686,0.000125,0.8669800758361816,0.7820419669151306
70,0.864263117313385,0.8086714744567871,0.000125,0.8670462965965271,0.7827492952346802
71,0.8640313744544983,0.8068622350692749,0.000125,0.8672448992729187,0.7803403735160828
72,0.864263117313385,0.8066712021827698,0.000125,0.8673773407936096,0.7804393768310547
73,0.8643955588340759,0.8054013848304749,6.25e-05,0.8673773407936096,0.7799769043922424
74,0.8645280003547668,0.8042967915534973,6.25e-05,0.8673111200332642,0.7801404595375061
75,0.8653225302696228,0.8028898239135742,6.25e-05,0.8673111200332642,0.779455304145813
76,0.8648424744606018,0.8036237359046936,6.25e-05,0.8672448992729187,0.7797719836235046
77,0.865140438079834,0.8035802841186523,6.25e-05,0.8674435615539551,0.7805464267730713
78,0.8659018874168396,0.8021507263183594,6.25e-05,0.8677746057510376,0.7795769572257996
79,0.8657197952270508,0.8006064295768738,6.25e-05,0.867973268032074,0.7793670892715454
80,0.8656039237976074,0.8019357919692993,6.25e-05,0.8676421642303467,0.7784426212310791
81,0.865140438079834,0.8025382161140442,6.25e-05,0.8678408265113831,0.7793496251106262
82,0.8651570081710815,0.8012422323226929,6.25e-05,0.8673773407936096,0.7800982594490051
83,0.8658853769302368,0.8009568452835083,6.25e-05,0.8673773407936096,0.7809954285621643
84,0.8659846782684326,0.8013937473297119,6.25e-05,0.8673111200332642,0.7807632088661194
85,0.8657197952270508,0.8007320165634155,6.25e-05,0.8672448992729187,0.7796584963798523
